,train_score,sparsity_sc,sparsity_sp,sparsity_diff
homer1,0.9019102,0.14490482555191964,0.10802469135802473,-0.03688013419389491
paip2,0.901885,0.016131262386505085,0.11111111111111116,0.09497984872460608
sparc,0.90166354,0.9000783518458773,0.1635802469135802,-0.7364981049322971
trf,0.9012662,0.9403143291699313,0.16666666666666663,-0.7736476625032647
bri3,0.90118945,0.21924690049315576,0.09876543209876543,-0.12048146839439033
tbr1,0.90035385,0.4955062911923307,0.13580246913580252,-0.3597038220565282
hspa12a,0.9003267,0.2090150712080011,0.10802469135802473,-0.10099037984997639
ctss,0.9002184,0.9782458404387704,0.25617283950617287,-0.7220730009325975
spock1,0.9001156,0.11250403281559662,0.09876543209876543,-0.013738600716831195
sorl1,0.89943635,0.1929298981426003,0.12037037037037035,-0.07255952777222996
dkk3,0.8980415,0.3641517260450754,0.10185185185185186,-0.26229987419322354
sdcbp,0.8979813,0.03830022583767345,0.1049382716049383,0.06663804576726484
lamp5,0.8979486,0.49154260957736096,0.12345679012345678,-0.3680858194539042
disp2,0.8976873,0.08457390422639077,0.11419753086419748,0.02962362663780671
pde1a,0.8976153,0.38032907775268465,0.12345679012345678,-0.25687228762922787
cap2,0.89672583,0.14518136147854543,0.11728395061728392,-0.027897410861261518
lin7b,0.8967023,0.0839747430520349,0.11419753086419748,0.030222787812162588
pten,0.8963167,0.02525694796515643,0.11728395061728392,0.09202700265212749
qdpr,0.89595056,0.06129879706871921,0.12345679012345678,0.06215799305473757
trp73,0.8953255,0.9782919297598747,0.9814814814814815,0.0031895517216068425
cetn3,0.894583,0.0176982993040512,0.10185185185185186,0.08415355254780066
camkk2,0.89447737,0.1550444761948656,0.11728395061728392,-0.037760525577581694
plekhb1,0.8929033,0.7885882840945753,0.2098765432098766,-0.5787117408846987
cldn11,0.89201367,0.98649582891644,0.22530864197530864,-0.7611871869411314
nhlh2,0.8914107,0.9845139881089552,0.9969135802469136,0.012399592137958382
