,train_score,sparsity_sc,sparsity_sp,sparsity_diff
prkcg,0.8152636,0.26257086233119786,0.1635802469135802,-0.09899061541761767
sirt2,0.8144267,0.11324146195326545,0.12654320987654322,0.013301747923277762
pdp1,0.81346697,0.1561506199013688,0.16049382716049387,0.00434320725912507
kcnma1,0.81343186,0.08904456837350783,0.14814814814814814,0.059103579774640314
nell2,0.81342036,0.2055122828040743,0.058641975308642014,-0.14687030749543228
ifi27,0.8133421,0.49426187952251466,0.1635802469135802,-0.33068163260893446
tsc22d4,0.8122064,0.7378439415587408,0.17901234567901236,-0.5588315958797284
ephx4,0.81220347,0.17481679494861035,0.16666666666666663,-0.008150128281943725
satb1,0.8114085,0.25883762732174953,0.154320987654321,-0.10451663966742852
pvalb,0.8095798,0.7956399502235332,0.16049382716049387,-0.6351461230630393
ier5,0.8091489,0.32691155459280086,0.2222222222222222,-0.10468933237057865
resp18,0.80897737,0.09904595105314096,0.1450617283950617,0.04601577734192075
lamp5,0.80885667,0.49154260957736096,0.12345679012345678,-0.3680858194539042
scg2,0.80715114,0.06369544176614284,0.1450617283950617,0.08136628662891887
disp2,0.8071086,0.08457390422639077,0.11419753086419748,0.02962362663780671
timp2,0.8063093,0.1436143245609992,0.12037037037037035,-0.023243954190628857
gng2,0.8062725,0.06475549615154164,0.11728395061728392,0.05252845446574228
gm13861,0.8061744,0.9760796423468683,0.9876543209876543,0.011574678640785985
spock1,0.8060578,0.11250403281559662,0.09876543209876543,-0.013738600716831195
chga,0.8058765,0.06710605152786098,0.1450617283950617,0.07795567686720073
mpped1,0.8057433,0.22311840346591694,0.16666666666666663,-0.05645173679925031
ogfrl1,0.80541265,0.054708024150804224,0.1450617283950617,0.09035370424425748
laptm4a,0.8049208,0.007143844771166474,0.13271604938271608,0.1255722046115496
ipcef1,0.80479693,0.4540719915195649,0.19753086419753085,-0.25654112732203405
epha4,0.80376166,0.37756371848642667,0.1450617283950617,-0.23250199009136496
mgll,0.8035881,0.09282389270406044,0.11419753086419748,0.021373638160137043
